Name;Muscle Group;Detailed Muscle Group;Other Muscle Groups;Type;Mechanics;Equipment;;
Cable Crunch Rotation;Abs;null;null;Strength;Isolation;Machine - Strength;Intermediate;Steps : 1.) Start by connecting a rope attachment to a high pulley cable machine, grabbing the rope with both hands and move into a kneeling position on the floor. 2.) Position the rope behind your head with your hands by your ears, then contract your abs as you pull downward on the rope in a crunch movement until your elbows touch your knees. 3.) Hold this position for a count and then return back up to the starting position and repeat for as many reps and sets as desired.
Cable Deadlift;Back;null;Glutes , Upper Legs;Strength;Isolation;Machine - Strength;Intermediate;Steps : 1.) Start by attaching a bar to a low pulley cable machine and standing in front of it with your feet shoulder width apart and back straight. 2.) Bend down and grab the bar with an overhand grip and slowly lift the bar up towards upper thigh level, keeping your back, arms and legs straight through the motion. 3.) Hold this position for a count then return back to the start. 4.) Repeat for as many reps and sets desired.
Cable Decline Chest Fly;Chest;null;null;Strength;Isolation;Machine - Strength;Intermediate;Steps : 1.) Start by setting up handles on two low pulley cable machines and placing a decline bench in between both machines. 2.) Grab onto both handles with an overhand grip and lay down on the decline bench, keeping your back flat on the bench and feet underneath the foot rests. 3.) Raise the handles above your head as this will be your starting position. 4.) Slowly lower and extend your arms out to your sides, feeling a stretch in your chest and hold for a count. 5.) Return back to the starting position and squeeze your chest. 6.) Repeat for as many reps and sets as desired.
Cable Decline One-Arm Chest Fly;Chest;null;null;Strength;Isolation;Machine - Strength;Intermediate;Steps : 1.) Start by setting up a handle on a low pulley cable machine and placing a decline bench next to the machine. 2.) Grab onto the handle with an overhand grip and lay down on the decline bench, keeping your back flat on the bench and feet underneath the foot rests. 3.) Raise the handle above your head as this will be your starting position. 4.) Slowly lower and extend your arm out to your side, feeling a stretch in your chest and hold for a count. 5.) Return back to the starting position and squeeze your chest. 6.) Repeat for as many reps and sets as desired.
Cable Decline One-Arm Press;Chest;null;null;Strength;Isolation;Machine - Strength;Beginner;Steps : 1.) Start by laying back on a decline bench facing away from a cable machine. 2.) Grab a cable and hold it one hand in an overhand grip, bringing the cable to about level with your right pec and elbow bent at 90-degrees. 3.) Once in position, slowly press and extend your arm straight out until you feel tension in your chest, and hold for a count. 4.) Repeat for as many reps and sets desired.
Cable Decline Press;Chest;null;Shoulders;Strength;Compound;Machine - Strength;Beginner;Steps : 1.) Start by laying back on an decline bench facing away from a cable machine. 2.) Grab two cables and hold it both hands in an overhand grip, bringing the cables to about level with your pecs and elbows bent at 90-degrees. 3.) Once in position, slowly press and extend your arms straight out until you feel tension in your chest, and hold for a count. 4.) Repeat for as many reps and sets desired.
Cable Decline Pullover;Shoulders;null;Back;Strength;Compound;Machine - Strength;Intermediate;Steps : 1.) Start by placing a decline bench in front of a high cable pulley machine with the head rest facing the machine. 2.) Attach a long bar to the machine and sit down with your back on the bench and feet planted firmly on the floor or in a foot rest. 3.) Grab the bar with both hands with palms facing out and slowly pull up and out with your shoulders until the bar reaches to around your pelvic area. 4.) Hold this position for a count then return back up slowly to the start. 5.) Repeat for as many reps and sets as desired.
Cable Deltoid Raise;Shoulders;Traps;Forearm;Strength;Isolation;Machine - Strength;Beginner;Steps : 1.) To begin this exercise: start off by standing to the side of a low pulley row and with your right hand grab the handle to the pulley. 2.) Keep your back and chest straight and your feet shoulder width apart. 3.) Take your right hand with the pulley and elevate it up so that it is at shoulder level and hold for a few seconds. 4.) Return back to the starting position. 5.) Repeat this exercise for as many repetitions as needed.
Cable Drag Curl;Biceps;null;null;Strength;Isolation;Machine - Strength;Intermediate;Steps : 1.) Start by standing up straight in front of a low pulley cable machine with a straight bar attached to the machine, with your arms rested at your sides and feet flat on the floor. 2.) Grab the bar in an underhand grip then slowly, keeping the bar as close as possible to your body, raise it up towards your shoulders, isolating the bicep and hold for a count. 3.) Return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Cable Elevated Row;Back;Lats;Shoulders;Strength;Compound;Machine - Strength;Intermediate;Steps : 1.) Start by taking an elevated platform and placing it on top of the bench for a cable row machine. 2.) Sit down on the bench placing your feet on the foot rests in front of you, keeping your knees slightly bent and then lean slightly to grab the handle to perform the exercise. 3.) Slowly extend your arms and elbows back pulling the handle towards your lower chest, feeling a stretch within your lats and lower back. 4.) Hold this position for a count then return back to the starting position. 5.) Repeat for as many reps and sets as desired.
Cable External Rotation;Shoulders;null;null;Strength;Compound;Machine - Strength;Beginner;Steps : 1.) Start by placing an extension band around a post or in a secure position where it will not release and is at elbow level. 2.) Position yourself to the side of the band and with your hand that is opposite of the band, reach out and grab the handle. 3.) Bring the band to your chest keeping your elbow bent in a 90-degree angle then slowly rotate your arm in a backhand motion so that the band externally rotates out. 4.) Continue out as far as possible so that you feel a stretch in your shoulders, hold for a count and then return back to the starting position. 5.) Repeat for as many reps and sets as desired.
Cable Flat Bench Fly;Chest;Outer Chest;Biceps;Strength;Isolation;Machine - Strength;Beginner;Similar to the cable crossover, the flat bench cable fly targets your chest using the fly motion but the difference with this exercise is that it allows you to lay flat on a bench and support your back. Steps : 1.) Start by placing a bench in between two cable machines and making sure that the bench is position so that when you lie down on it, your shoulders are in line with the pulleys. 2.) Then grab a handle in each hand and sit on the edge of the bench, then slowly lean back until you are fully rested upon the bench and in the starting position. 3.) Keep your arms out to your sides with your elbows pointed down at the ground with a slight bend. 4.) Slowly lift the handles up above your chest to perform this exercise, squeezing your chest muscles and holding for a count. 5.) Return back to the starting position and repeat for as many reps and sets as desired. Tips : 1.) It is important to perform this exercise with a weight that you are able to manage to prevent any injuries.
Cable Front Lat Pulldown (Close Grip);Back;Traps;Biceps;Strength;Compound;Machine - Strength;Beginner;The close-grip font lat pulldown is a classic bodybuilder exercise use to target the back muscles, specifically the lower lats. Steps : 1.) Start by sitting down at a pull-down machine and place your knees underneath the padding on the machine. 2.) Grab onto the bar with a close overhand grip and pull the bar down straight until it is even with your upper chest. 3.) Once in the final position hold for a count while squeezing the lat muscles and then slowly return back to the starting position.
Cable Front Raise;Shoulders;null;null;Strength;Compound;Machine - Strength;Beginner;To better target your front shoulder muscles, the cable front raise exercise helps improve your arm movement and build sculpted shoulders. Steps : 1.) Start this exercise by grabbing the barbell with an overhand grip while also keeping your abs tight. 2.) With your arms relatively straight, only a slight bend in your elbows, and your knees slightly bent, raise the barbell to shoulder level. 2.) Keeping your arms relatively straight along with your knees bent, raise the barbell up to shoulder level. 3.) Once you reach the top position, hold for a count then return back to the starting position. Tips : 1.) When performing this exercise, make sure that you hold your abs tight to be able to support your back and prevent from bending your back as this may result in injury.
Cable Front Raise (Supine);Shoulders;null;null;Strength;Isolation;Machine - Strength;Intermediate;Steps : 1.) Begin by setting up a low pulley cable machine with a straight bar attachment. Lay down on the ground with your feet extended out towards the machine and hold the bar at your waist. 2.) Slowly extend the bar up and above your chest, squeezing in your shoulders and hold for a count. 3.) Return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Cable Grip Lat Pulldown (Narrow Grip);Back;null;null;Strength;Isolation;Machine - Strength;Beginner;Steps : 1.) Start by sitting down on a cable machine and grabbing a narrow grip bar. 2.) Slowly pull the bar down towards your chest, flexing at your elbows and keeping your back angled at around 45-degrees, and hold this position for a few seconds feeling the tension in your lats and lower back. 3.) Return back to the starting position and repeat for as many reps and sets as desired.
Cable High Cross-Over;Chest;null;Triceps;Strength;Isolation;Machine - Strength;Beginner;Steps : 1.) Start by setting up handles on two high cable pulley machines and standing up straight, feet shoulder width apart in between the machines. 2.) Grab onto the handles with an overhand grip, keeping your arms extended up and out to your sides. 3.) Slowly bring the cables down and in front of your body, crossing over each other and squeeze your chest. 4.) Hold this position for a count then return back to the starting position. 5.) Repeat for as many reps and sets as desired.
Cable High Curl;Biceps;null;Triceps;Strength;Compound;Machine - Strength;Intermediate;The high cable curl exercise targets the muscles of your arms from a different position and helps build bigger biceps. Steps : 1.) Start by placing a flat bench next to a cable weigh stack and attaching a short bar to the high pulley. 2.) Lay on your back with your head towards the stack. 3.) Grip the bar with and overhand grip (palms facing you) and extend your arms fully on a slight angle over your head. 4.) Pull the bar down towards you, curling your arms as much as possible, and holding for a count. 5.) Slowly return to the starting position. 6.) Repeat for as many reps and sets as possible.
Cable High Pulley Tricep Extension;Triceps;null;null;Strength;Isolation;Machine - Strength;Beginner;Steps : 1.) Start by setting up a high cable pulley machine with a straight bar and stand with your back facing the machine, grabbing the bar with an overhand grip. 2.) Bend down at the waist so that your body is almost parallel with the floor and keep a staggered position so that one leg is in front of the other. 3.) Keeping your hands close together, push the bar out in front of you until your arms are fully extended, squeezing your triceps and hold for a count. 4.) Return back to the starting position. 5.) Repeat for as many reps and sets as desired.
Cable Hip Adduction;Glutes;Hamstrings;Upper Legs;Stretching;Compound;Machine - Strength;Beginner;The hip adduction exercise helps strengthen the hip flexor and thigh muscles. Steps : 1.) Start by standing alongside a cable pulley stack and attach a cuff to the pulley near your ankle. 2.) Step away from the stack holding onto the stack for support. 3.) While standing firm on the foot not attached to the cable, slowly abduct (pull) your cuffed ankle in front of your stabilizing leg and back 4.) Repeat and switch ankles.
Cable Incline Bench Row;Back;null;Biceps;Strength;Compound;Machine - Strength;Intermediate;Steps : 1.) Start by taking an incline bench and placing it in front of a cable pulley machine with the high end facing the straight bar that is attached to the machine. 2.) Lay down with your chest flat on the bench and grab the bar with an overhand grip then slowly pull the bar in towards your chest. 3.) Squeeze your back as the bar reaches your chest and hold for a count. 4.) Return back to the starting position. 5.) Repeat for as many reps and sets as desired.
Cable Incline Bicep Curl;Biceps;null;null;Strength;Isolation;Machine - Strength;Intermediate;Steps : 1.) Start by setting up an incline bench in between two low pulley cable machines with handles attached to each machine. 2.) Sit with your back flat on the incline bench with each hand holding onto the cables and your feet flat on the floor. 3.) Keep your arms outstretched then slowly curl the cables in towards your chest, isolating your biceps, and hold for a count. 4.) Return back to the starting position and repeat for as many reps and set as desired.
Cable Incline Fly;Chest;Inner Chest;Shoulders;Strength;Isolation;Machine - Strength;Beginner;The cable fly exercise helps target your upper chest and top pectoral muscles. Steps : 1.) Start off setting up a bench so that it is at a 35 or 45 incline angle and placed in between two cable machines facing each other. 2.) Grab onto the handles, sit on the edge of the bench and then lean back with your arms out at your sides and elbows slightly bent, as this will be your starting position. 3.) Pull on the cables, with your arms extended out and using your chest to pull the cables, until the handles are directly above your chest. 4.) Squeeze with your chest and hold for a count then return back to the starting position. Tips : 1.) Keep your elbows slightly bent at the same position from the start to the finish. 2.) The most important thing is to focus on using your chest as much as possible when performing this exercise without using your triceps or arms.
Cable Incline Fly (Stability Ball);Chest;null;Abs , Glutes;Strength;Compound;Machine - Strength;Intermediate;Steps : 1.) Start by setting up handles on two low pulley cable machines and placing an exercise ball in between the machines. 2.) Grab onto the handles with a neutral, hammer grip, and sit down on the ball. 3.) Slowly walk your feet out in front of you so that your legs are extended out in front of you with knees bent and your back positioned on the middle of the ball. 4.) Raise the handles above your chest as this will be your starting position. 5.) Slowly lower the handles down to your sides, feeling a stretch in your chest and hold for a count. 6.) Return back up to the starting position and squeeze. 7.) Repeat for as many reps and sets as desired.
Cable Incline Press;Chest;null;Shoulders;Strength;Compound;Machine - Strength;Beginner;Steps : 1.) Start by laying back on an incline bench facing away from a cable machine. 2.) Grab two cables and hold it both hands in an overhand grip, bringing the cables to about level with your pecs and elbows bent at 90-degrees. 3.) Once in position, slowly press and extend your arms straight out until you feel tension in your chest, and hold for a count. 4.) Repeat for as many reps and sets desired.
Cable Incline Press (Stability Ball);Chest;null;Abs , Glutes;Strength;Compound;Machine - Strength;Intermediate;Steps : 1.) Start by setting up handles on two low pulley cable machines and placing an exercise ball in between the machines. 2.) Grab onto the handles with a neutral, hammer grip, twisting them so they are horizontal and sit down on the ball. 3.) Slowly walk your feet out in front of you so that your legs are extended out in front of you with knees bent and your upper back is flat on the middle of the ball so that you are in an incline position. 4.) Raise the handles above your chest as this will be your starting position. 5.) Slowly lower the handles down to your sides, feeling a stretch in your chest and hold for a count. 6.) Return back up to the starting position and squeeze. 7.) Repeat for as many reps and sets as desired.
Cable Incline Pullover;Shoulders;null;null;Strength;Isolation;Bench;Intermediate;Steps : 1.) Start by placing a bench in front of a high cable pulley machine with the head rest facing the machine in an incline position. 2.) Attach a long bar to the machine and sit down with your back on the bench. 3.) Grab the bar with both hands and palms facing out. Slowly pull down with your shoulders until the bar reaches to around your pelvic area. 4.) Hold this position for a count then return back up slowly to the start. 5.) Repeat for as many reps and sets as desired.
Cable Incline Pushdown;Back;Traps;null;Strength;Compound;Machine - Strength;Beginner;Steps : 1.) To begin this exercise: start off by lying back flat on an incline bench facing away from the pulley machine. 2.) Take the bar from the pulley machine and extend it in front of you and down until its right above your thighs. 3.) Then return back to the starting position slowly, squeezing your back tightly as you reach the start. 4.) Repeat this exercise for as many repetitions as needed.
Cable Incline Tricep Extension;Triceps;null;null;Strength;Isolation;Bench;Intermediate;Steps : 1.) Start by setting up an incline bench in front of a low pulley cable machine and attach a straight bar for the exercise. 2.) Sit down facing away from the machine, holding the bar with an overhand grip behind your head as this will be your starting position. 3.) Slowly push the bar above your head, squeezing your triceps and hold for a count. 4.) Return back to the starting position. 5.) Repeat for as many reps and sets as desired.
Cable Incline Tricep Extension;Triceps;null;null;Strength;Isolation;Machine - Strength;Intermediate;The cable incline triceps extension exercise uses cables to isolate and work the tricep muscles. Steps : 1.) Start by placing an incline bench facing away from a cable pulley and attaching a short straight bar to the pulley, adjusting the height so that your arms can extend fully. 2.) Lie face up (back flat) on the bench and grasp the bar with a narrow overhand grip. 3.) Starting with your elbows bent overhead, slowly lower the bar towards your feet. 4.) Pause at the bottom and then return to starting position. 5.) Repeat for as many reps and sets as desired.
Cable Inner Chest Press;Chest;null;Shoulders;Strength;Compound;Machine - Strength;Beginner;Steps : 1.) Begin by setting up the handles on a high cable pulley machine. While standing in between the machines, take hold of a handle in each hand. Extend your arms behind your body with elbows bent. 2.) Keep your chest up, then slowly bring the handles together in front of your body at about waist level. 3.) As you reach waist level, extend your arms and push down while contracting your chest muscles. 4.) Hold for a count then return back to the starting position. 5.) Repeat for as many reps and sets as desired.
Cable Internal Rotation;Shoulders;null;null;Strength;Compound;Machine - Strength;Beginner;To target the small rotator cuff muscle of your shoulder, perform the internal rotation exercise. Steps : 1.) Start by sitting with your legs flat on the floor next to a low cable pulley machine and holding the handle of the cable in line with your waist and at arms-length away. 2.) After grabbing on to the handle, pull it in towards your body, keeping your elbow at your side. 3.) Slowly rotate your shoulder and bring your forearm across your abs, feeling a stretch in your shoulder muscles and hold for a count. 4.) Return back to the starting position and repeat for as many reps and sets as desired. 5.) Switch arms and repeat. Tips : 1.) You don't need to use heavy weights for this exercise in order for it to be successful and effective, actually by using heavier weight this can result in injury and force larger muscles to take over rather making it ineffective. 2.) Placing a rolled up towel under your armpit can make it comfortable on your shoulders and a much more effective exercise.
Cable Judo Flip;Abs;null;null;Strength;Compound;Machine - Strength;Beginner;Steps : 1.) Start by connecting a rope attachment to a low pulley cable machine and standing to the side of the cable with a wide stance and rope in both hands. 2.) Turn your body away from the machine as you bring the rope over your shoulder as if you were performing a judo flip shifting the weight forward as you crunch to pull the rope downward. 3.) Hold this position for a count then return back to the start and repeat for as many reps and sets desired.
Cable Knee Raise (Supine);Abs;null;null;Strength;Compound;Machine - Strength;Beginner;Steps : 1.) Start by placing a flat bench right in front of a low pulley cable machine and attaching ankle straps to the pulley. 2.) Lay with your back flat on the bench, feet pointed towards the machine and your hands grasping the bench behind your head. 3.) Slowly pull your knees up as high as you can towards your chest until you feel a stretch in your abs, then return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Cable Kneeling Pulldown;Abs;null;Abs;Strength;Isolation;Machine - Strength;Intermediate;Steps : 1.) Start off by kneeling down on a mat in front of a cable machine, grabbing a straight bar and keep your back straight. 2.) Slowly pull the handle down to your knees using your knees, feeling the tension in your upper and lower lats, and hold for a few seconds. 3.) Return back to the starting position and repeat for as many reps and sets desired.
Cable Kneeling Tricep Extension;Triceps;null;null;Strength;Isolation;Machine - Strength;Intermediate;The cable kneeling concentration tricep extension exercise helps target and tone the tricep muscles by limiting your range of motion and increasing the effectiveness of the movement. Steps : 1.) Start by attaching a stirrup handle to a cable pulley and adjust the pulley up high. 2.) Kneeling on your left knee (with the left side of your body turned towards the machine), keep your right bent and the upper portion of your thigh parallel to the floor. 3.) With your right elbow and upper arm pressed against your inner thigh just above your knee, pull the cable down towards the floor in a slight arcing motion. 4.) Slowly to return to starting position. 5.) Repeat for as many reps and sets as desired. 6.) Switch arms and repeat the steps.
Cable Kneeling Tricep Extension;Triceps;null;null;Strength;Isolation;Machine - Strength;Intermediate;The kneeling cable triceps extension exercise allows you to isolate your triceps more effectively and building bigger arms through kneeling. Steps : 1.) Start off by placing a bench sideways in front of a high pulley machine and attaching a straight bar onto the machine. 2.) Grab onto the straight bar with an overhand grip and kneel on the floor in front of the bench, keeping your back straight and head down. 3.) Positioning your elbows and your forearms above your head, push down on the bar in an arc motion so that your forearms are touching the bench. 4.) Hold onto this position for a count, isolating the triceps and return back up to the start. 5.) Repeat for as many reps and sets as desired.
Cable Lat Pulldown;Back;Traps;Shoulders , Biceps;Strength;Compound;Machine - Strength;Intermediate;Steps : 1.) To begin this exercise: start off sitting on a bench and grab onto overhead cables that are attached to a pulley machine. 2.) Grab each cable with the opposite hands so that you arms are criss-crossed. 3.) Then pull back and down with your lower back as if you were doing a pulldown so that each hand is on the correct side. 4.) Hold onto this position for a few seconds squeezing your lower back tightly. 5.) Return back to the starting position. 6.) Repeat this exercise for as many repetitions as needed.
Cable Lat Pulldown (Wide Grip);Back;Traps;Shoulders;Strength;Compound;Machine - Strength;Intermediate;The wide-grip lat pulldown is one of the classic bodybuilding exercises used to help build a stronger back. Steps : 1.) Start by sitting a cable pull down machine that has a wide bar attachment and grab it with a wide overhand grip. 2.) Keeping your abs drawn in, back straight and pull down on the bar to your upper chest. 3.) Hold for a count at the bottom position, squeeze your lats and then slowly return back to the starting position.
Cable Lateral Raise;Shoulders;Delts;Shoulders;Strength;Isolation;Machine - Strength;Beginner;The bent over cable lateral raise is a great exercise for building strong shoulders and targeting your rear deltoids and the use of a cable machine offers consistent resistance compared to a dumbbell bent over raise. Steps : 1.) Start off attaching a handle to a cable machine and stand with your side facing the machine. 2.) Bend slightly at your knees to get in the bent over position without bending at your back. 3.) Take the cable hand with your arm furthest from the cable machine as this arm will be going across the front of your body. 4.) Slowly raise your arm across your body and out to the side, continuing until your arm is level with the ground. 5.) Hold onto this position for a count then return back to the starting position. Switch sides when done.
Cable Leg Kickback;Glutes;null;Upper Legs;Strength;Isolation;Machine - Strength;Beginner;Steps : 1.) Start by setting up an ankle strap or cable onto a low pulley cable machine and attaching it to one of your ankles. 2.) Stand in front of the machine and place your arms against it for support. 3.) Slowly move the weighted leg backward, extending it as far as you can, feeling a stretch in your calf and hold for a count. 4.) Return back to the starting position. 5.) Repeat for as many reps and sets as desired.
Cable Low Tricep Extension;Triceps;null;null;Strength;Isolation;Machine - Strength;Beginner;The cable low triceps extension exercise is performed while lying on a seated row cable station and targets the triceps muscles. Steps : 1.) Start by attaching a rope to the cable pulley at of a seated row station. 2.) Lie on the bench with your head facing the weight stack. 3.) Grab the rope with your palms facing each other and raise your arms over your chest, with your forearms parallel to the floor at a 90 degree angle. 4.) Slowly extend your arms upward squeezing your triceps. 5.) Return to starting position and repeat for as many reps and sets as desired.
Cable Lower Chest Raise;Chest;null;Shoulders;Strength;Isolation;Machine - Strength;Intermediate;Steps : 1.) Start by setting up handles on a low pulley cable machine, standing in between the machines, grabbing the handles with both hands and keeping your arms at your sides. 2.) Slowly bring the handles together in front of your body at about waist level and squeeze your lower chest. 3.) Hold for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Cable Lying Crunch;Abs;null;null;Strength;Isolation;Machine - Strength;Beginner;Steps : 1.) Start by placing a rope attachment to a low pulley cable machine and lay down in front of the machine with your head close to the pulley. 2.) Keeping your knees bent, grab the rope with your palms facing inward and pull up to your head. 3.) Slowly contract your abs, so that your shoulders are up off of the floor, and reach up as much as possible towards your knees until you feel a stretch. 4.) Return to the starting position and repeat for as many reps and sets as desired.
Cable Lying Tricep Extension;Triceps;null;null;Strength;Isolation;Machine - Strength;Beginner;The cable lying triceps extension uses cables to isolate and work the tricep muscles. Steps : 1.) Start off by placing a flat bench with the end towards a weight stack and attaching a short straight bar to the pulley and lower the pulley to the bottom of the stack. 2.) Lie face up (back flat) on the bench and grasp the bar with a narrow overhand grip. 3.) Starting with your arms extended lower the bar towards the stack by bending your elbows. 4.) Slowly extend your arms upright and return to the starting position. 5.) Repeat for as many reps and sets as desired.
Cable Mid Chest Crossover;Chest;null;Shoulders;Strength;Isolation;Machine - Strength;Beginner;Steps : 1.) Start by setting up two handles on two high cable pulley machine and stand in between the machines with your hands extended out gripping the handles above your body. 2.) Slowly bring the handles down towards your sides as this will be your starting position. 3.) Then bring the handles in together towards the front of your body, squeezing your chest and hold for a count. 4.) Return the handles back to the starting position. 5.) Repeat for as many reps and sets as desired.
Cable Oblique Crunch;Abs;null;null;Strength;Isolation;Machine - Strength;Beginner;Steps : 1.) Start by standing with your side next to a high pulley cable machine with a grip attachment connected to the machine. 2.) Grasp the handle with one of your hands, with your feet shoulder width apart and the other arm rested at your side. 3.) Slowly pull down with the arm grasping the cable with your obliques until you feel a stretch in your abs. 4.) Return back to the starting position and switch to the opposite side. 5.) Repeat for as many reps and sets as desired.
Cable One-Arm Bicep Curl;Biceps;null;Forearm;Strength;Isolation;Machine - Strength;Beginner;The cable standing one arm bicep curl exercise is a single arm version of the bicep cable curl that targets and isolates the bicep muscle. Steps : 1.) Start off by attaching a stirrup bar to a low cable pulley and standing on the side of the weight stack with your legs shoulder width apart and your knees slightly bent. 2.) Grasp the stirrup in one hand with an underhand grip (palms facing up) and lower the stirrup to the top of your thighs. 3.) Keeping your elbows still, curl the stirrup up towards your chest, squeezing and isolating the bicep muscle. 4.) Slowly lower the stirrup to the starting position. 5.) Repeat for as many reps and sets as desired.
Cable One-Arm Concentration Curl;Biceps;null;null;Strength;Isolation;Machine - Strength;Beginner;Steps : 1.) Start by setting up a handle on a low cable pulley machine and then placing a flat bench in front of the machine. 2.) Sit down and grasp the handle with one hand, holding it in a concentration curl position. 3.) Slowly curl the cable up towards your shoulder, isolating the bicep, until you feel a stretch and tension in your muscle. 4.) Hold for a count then return back to the starting position. 5.) Repeat for as many reps and sets as desired.
Cable One-Arm Fly (Stability Ball);Chest;null;null;Strength;Isolation;Machine - Strength;Intermediate;Steps : 1.) Start by setting up a handle on a low pulley cable machine and placing an exercise ball next to the machine. 2.) Grab onto the handle with a neutral, hammer grip, and sit down on the ball. 3.) Slowly walk your feet out in front of you so that your legs are extended out in front of you with knees bent and your back is flat on the middle of the ball. 4.) Raise the handle above your chest as this will be your starting position. 5.) Slowly lower the handle down to your side, feeling a stretch in your chest and hold for a count. 6.) Return back up to the starting position and squeeze. 7.) Repeat for as many reps and sets as desired.
Cable One-Arm High Curl;Biceps;null;null;Strength;Isolation;Machine - Strength;Beginner;Steps : 1.) Begin by standing sideways next to a high pulley machine, arm extended out at about shoulder height and gripping the handle with one of your hands. 2.) Slowly curl the cable towards your head, isolating the bicep until you feel tension, and hold for a count. 3.) Return back to the starting position and repeat for as many reps and sets as desired.
Cable One-Arm Incline Fly (Stability Ball);Chest;null;null;Strength;Isolation;Machine - Strength;Intermediate;Steps : 1.) Start by setting up a handle on a low pulley cable machine and place an exercise ball next to the machine. 2.) Grab onto the handle with a neutral, hammer grip, and sit down on the ball. 3.) Slowly walk your feet out in front of you so that your legs are extended out in front of you with knees bent and your back is flat on the middle of the ball. 4.) Raise the handle above your chest as this will be your starting position. 5.) Slowly lower the handle down to your side, feeling a stretch in your chest, just as in a fly and hold for a count. 6.) Return back up to the starting position and squeeze. 7.) Repeat for as many reps and sets as desired.
Cable One-Arm Incline Press;Chest;null;null;Strength;Isolation;Machine - Strength;Intermediate;Steps : 1.) Start by laying back on an incline bench facing away from a cable machine. 2.) Grab a cable and hold it one hand in an overhand grip, bringing the cable to about level with your right pec and elbow bent at 90-degrees. 3.) Once in position, slowly press and extend your arm straight out until you feel tension in your chest, and hold for a count. 4.) Repeat for as many reps and sets desired.
Cable One-Arm Incline Press (Stability Ball);Chest;null;Abs , Back;Strength;Isolation;Machine - Strength;Intermediate;Steps : 1.) Start by setting up a handle on a low pulley cable machine and placing an exercise ball next to the machine. 2.) Grab onto the handle with a neutral, hammer grip, twisting it so that it is turned horizontally and sit down on the ball. 3.) Walk your feet out in front of you so that your legs are extended out in front of you with knees bent and your upper back is flat on the middle of the ball. 4.) Raise the handle above your chest as this will be your starting position. 5.) Slowly lower the handle down to your side, feeling a stretch in your chest and hold for a count. 6.) Return back up to the starting position and squeeze. 7.) Repeat for as many reps and sets as desired.
Cable One-Arm Lat Pulldown;Back;Lats;Biceps;Strength;Compound;Machine - Strength;Beginner;Steps : 1.) Start by sitting on a bench in front of a low pulley cable machine with one handle attached. 2.) Grab the handle with one arm in a pronated grip (palms facing out) and then pull the handle down, squeezing in your lats as you come down until you feel a tension in the muscle. 3.) Hold for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Cable One-Arm Lateral Raise;Shoulders;null;null;Strength;Isolation;Machine - Strength;Beginner;Steps : 1.) Begin by setting up a handle on a low pulley cable machine, stand to the side of the weights and grab the handle with the opposite arm of the machine. 2.) Bring your arm to waist level and slowly elevate it up and out in a semi-circle motion, squeezing your shoulders during the movement. 3.) Hold for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Cable One-Arm Preacher Curl;Biceps;null;null;Strength;Isolation;Machine - Strength , Machine - Strength;Beginner;Steps : 1.) Start off setting up either a handle on a low pulley cable machine and place a preacher bench in front of the machine. 2.) Grab onto the handle with an underhand grip, then sit down on the bench with your forearm rested over the padding and feet flat on the floor in front of you. 3.) Keep your arm extended out in front of you then slowly curl the handle up towards your chest, isolating your bicep and squeeze. 4.) Hold for a count then return back to the starting position. 5.) Repeat for as many reps and sets as desired.
Cable One-Arm Preacher Curl (Reverse);Biceps;null;null;Strength;Isolation;Machine - Strength;Beginner;Steps : 1.) Start by setting up either a handle on a low pulley cable machine and placing a preacher bench in front of the machine. 2.) Grab onto the handle with an overhand, reverse grip, then sit down on the bench with your forearm rested over the padding and feet flat on the floor in front of you. 3.) Keep your arm extended out in front of you then slowly curl the handle up towards your chest, isolating your bicep and squeeze. 4.) Hold for a count then return back to the starting position. 5.) Repeat for as many reps and sets as desired.
Cable One-Arm Press (Stability Ball);Chest;null;null;Strength;Isolation;Machine - Strength;Intermediate;Steps : 1.) Start off setting up a handle on a low pulley cable machine and placing an exercise ball next to the machine. 2.) Grab onto the handle with a neutral, hammer grip, twisting it so that it is in a horizontal position and sit down on the ball. 3.) Slowly walk your feet out in front of you so that your legs are extended out in front of you with knees bent and your back is flat on the middle of the ball. 4.) Raise the handle above your chest as this will be your starting position. 5.) Slowly lower the handle down to your side, feeling a stretch in your chest and hold for a count. 6.) Return back up to the starting position and squeeze. 7.) Repeat for as many reps and sets as desired.
Cable One-Arm Pulley Side Bend;Abs;null;null;Strength;Isolation;Machine - Strength;Beginner;Steps : 1.) Start by connecting a cable to a high pulley cable machine, standing to the side of the machine and gripping the cable with one hand with an underhand grip. 2.) Slowly pull down on the cable with your obliques so that you are performing a side crunch. 3.) Once you reach the maximum contraction and farthest you can bend without bending your knees, hold for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired.
